original_index,location_name,latitude,longitude,city,state
520,Westland,42.3242,-83.40021,Westland,michigan
523,Newaygo County,43.55417,-85.80091,White Cloud,michigan
523,White Cloud,39.97639,-95.29692,White Cloud,michigan
524,Willis,30.42493,-95.47994,Willis,michigan
525,Denton County,33.20526,-97.11697,Ypsilanti,michigan
527,Michigan,44.25029,-85.50033,Ypsilanti,michigan
527,Eastern Michigan University,42.24698,-83.62272,Ypsilanti,michigan
530,Juniata County,40.53106,-77.40216,Academia,pennsylvania
530,Kazusa Academia Park,35.33019,139.99157,Academia,pennsylvania
533,North Park,43.71833,-79.47667,Allegheny,pennsylvania
533,Allegheny County,40.46883,-79.98119,Allegheny,pennsylvania
536,Allentown,40.60843,-75.49018,Allentown,pennsylvania
538,Hamilton Street Park,43.55193,-89.45373,Allentown,pennsylvania
538,Allentown,40.60843,-75.49018,Allentown,pennsylvania
539,Hamilton Street Park,43.55193,-89.45373,Allentown,pennsylvania
539,Allentown,40.60843,-75.49018,Allentown,pennsylvania
540,Allentown,40.60843,-75.49018,Allentown,pennsylvania
541,Allentown,40.60843,-75.49018,Allentown,pennsylvania
542,Allentown,40.60843,-75.49018,Allentown,pennsylvania
545,Altoona,40.51868,-78.39474,Altoona,pennsylvania
547,Altoona,40.51868,-78.39474,Altoona,pennsylvania
548,City of Chicago,41.83691,-87.68475,Altoona,pennsylvania
551,Alliance,40.91534,-81.10593,Banning,pennsylvania
554,Beaver County,40.68226,-80.34929,Beaver,pennsylvania
554,Plantation of Brighton,45.04759,-69.696,Beaver,pennsylvania
556,Beaver Falls,40.75201,-80.31923,Beaver Falls,pennsylvania
557,Bedford Springs,42.5162,-71.27089,Bedford,pennsylvania
558,Bedford County,40.00656,-78.49032,Bedford,pennsylvania
567,Church Built from One Tree,38.43575,-122.71443,Bernville,pennsylvania
567,Penn Valley,39.196,-121.19107,Bernville,pennsylvania
575,Town of Bethlehem,41.63748,-73.21132,Bethlehem,pennsylvania
576,Birdsboro,40.26454,-75.80409,Birdsboro,pennsylvania
579,Bloomsburg,41.0037,-76.45495,Bloomsburg,pennsylvania
582,Blue Mountain,18.07095,-77.4284,Blue Mountain,pennsylvania
586,Bradford County,41.78867,-76.51545,Bradford County,pennsylvania
588,Delaware River Bridge,40.11705,-74.83016,Bristol,pennsylvania
588,City of Bristol,51.45,-2.6,Bristol,pennsylvania
588,Kingdom of Spain,40.0,-4.0,Bristol,pennsylvania
589,City of Bristol,51.45,-2.6,Bristol,pennsylvania
592,Bryn Mawr Hospital,40.01891,-75.32126,Bryn Mawr,pennsylvania
593,Newton County,36.90551,-94.33925,Bucks County,pennsylvania
594,Bucks County,40.33694,-75.10687,Bucks County,pennsylvania
596,Buckingham County,37.57224,-78.52871,BUckingham,pennsylvania
597,Holicong,40.33566,-75.04739,Buckingham,pennsylvania
600,Slippery Rock,41.06395,-80.05645,Butler County,pennsylvania
600,Rock Creek,45.75746,-92.96243,Butler County,pennsylvania
603,Township of Summit,39.69796,-100.57227,Butler County,pennsylvania
603,Borough of East Butler,40.87884,-79.84726,Butler County,pennsylvania
604,City of Cambridge,42.37582,-71.1184,Cambridge Springs,pennsylvania
605,Camp Hill,40.23981,-76.91997,Camp Hill,pennsylvania
606,Camp Hill,40.23981,-76.91997,Camp Hill,pennsylvania
607,Camp Hill,40.23981,-76.91997,Camp Hill,pennsylvania
610,Carbon County,40.91818,-75.70882,Carbon County,pennsylvania
611,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
612,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
613,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
614,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
615,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
616,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
617,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
618,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
619,Carlisle County,36.85322,-88.97106,Carlisle,pennsylvania
622,Cecil County,39.56242,-75.94811,Cecil,pennsylvania
622,Peters Township Hall,40.27993,-80.0817,Cecil,pennsylvania
626,Clearfield County,41.00019,-78.47411,Clearfield,pennsylvania
628,Coatsville,40.58919,-92.63353,Coatsville,pennsylvania
629,Colwyn Bay,53.29483,-3.72674,Colwyn,pennsylvania
634,Fall Brook,41.6773,-76.9858,Covington,pennsylvania
641,Cumberland County,40.16363,-77.26555,Cumberland County,pennsylvania
647,Alum Rock Park,37.39772,-121.79968,Delaware County,pennsylvania
647,Springfield,39.80172,-89.64371,Delaware County,pennsylvania
647,Delaware County,39.91681,-75.3989,Delaware County,pennsylvania
648,Delmont,43.26749,-98.1623,Delmont,pennsylvania
651,US Route 101 & Beerman Creek Rd.,45.96541,-123.92414,Downingtown,pennsylvania
